Lon,Lat,Thick,Elev,Unc,Day,Qual,Source
-6.2380596000000004e+01,-6.7268419999999878e+01,284.5200,533.5347,10.1460,735301,1,IRMCR2_20091116_01
-6.2379027999999998e+01,-6.7263861999999861e+01,293.4100,533.5853,10.2467,735301,1,IRMCR2_20091116_01
-6.2377457999999997e+01,-6.7259305999999853e+01,287.5800,533.6771,10.1804,735301,1,IRMCR2_20091116_01
-6.2375889000000001e+01,-6.7254748999999862e+01,281.7300,533.8100,10.1148,735301,1,IRMCR2_20091116_01
-6.2374328000000006e+01,-6.7250192999999868e+01,279.9600,533.9840,10.0951,735301,1,IRMCR2_20091116_01
-6.2372776999999999e+01,-6.7245636999999860e+01,290.0700,534.1991,10.2086,735301,1,IRMCR2_20091116_01
-6.2371239000000003e+01,-6.7241112999999856e+01,288.8300,534.0808,10.1946,735301,1,IRMCR2_20091116_01
-6.2369695999999998e+01,-6.7236553999999870e+01,283.6500,533.8900,10.1362,735301,1,IRMCR2_20091116_01
-6.2368154000000004e+01,-6.7231995999999853e+01,283.6500,533.7404,10.1362,735301,1,IRMCR2_20091116_01
-6.2366610999999999e+01,-6.7227437999999864e+01,290.8600,533.6319,10.2176,735301,1,IRMCR2_20091116_01
-6.2365066999999996e+01,-6.7222878999999864e+01,292.5100,533.5645,10.2364,735301,1,IRMCR2_20091116_01
-6.2363521000000006e+01,-6.7218319999999864e+01,285.0300,533.5383,10.1517,735301,1,IRMCR2_20091116_01
-6.2358859000000010e+01,-6.7204647999999878e+01,299.0700,533.7065,10.3120,735301,1,IRMCR2_20091116_01
-6.2357297000000003e+01,-6.7200090999999858e+01,301.8600,533.8449,10.3445,735301,1,IRMCR2_20091116_01
